Year,Month,Day,Hour,Minute,Temperature,GHI
2019,1,22,0,30,22.9,0
2019,1,22,1,30,22.3,0
2019,1,22,2,30,22.1,0
2019,1,22,3,30,21.9,0
2019,1,22,4,30,21.6,0
2019,1,22,5,30,21.9,0
2019,1,22,6,30,23.8,54
2019,1,22,7,30,26.6,263
2019,1,22,8,30,29.7,483
2019,1,22,9,30,32.7,658
2019,1,22,10,30,35.3,787
2019,1,22,11,30,36.6,844
2019,1,22,12,30,37.1,711
2019,1,22,13,30,37.1,630
2019,1,22,14,30,36.6,561
2019,1,22,15,30,35.1,357
2019,1,22,16,30,32.5,139
2019,1,22,17,30,30.2,0
2019,1,22,18,30,28.9,0
2019,1,22,19,30,27.8,0
2019,1,22,20,30,26.9,0
2019,1,22,21,30,26.2,0
2019,1,22,22,30,25.6,0
2019,1,22,23,30,25.2,0
2019,1,23,0,30,24.1,0
2019,1,23,1,30,23.5,0
2019,1,23,2,30,23,0
2019,1,23,3,30,22.6,0
2019,1,23,4,30,22.1,0
2019,1,23,5,30,22.4,0
2019,1,23,6,30,24,49
2019,1,23,7,30,26.6,202
2019,1,23,8,30,29.3,386
2019,1,23,9,30,31.7,528
2019,1,23,10,30,33.6,814
2019,1,23,11,30,34.9,723
2019,1,23,12,30,35.6,834
2019,1,23,13,30,35.7,600
2019,1,23,14,30,35.3,489
2019,1,23,15,30,33.6,360
2019,1,23,16,30,30.6,143
2019,1,23,17,30,28.3,0
2019,1,23,18,30,27.2,0
2019,1,23,19,30,26.4,0
2019,1,23,20,30,25.6,0
2019,1,23,21,30,24.8,0
2019,1,23,22,30,23.9,0
2019,1,23,23,30,23.5,0
2019,1,24,0,30,22.4,0
2019,1,24,1,30,22,0
2019,1,24,2,30,21.6,0
2019,1,24,3,30,21.2,0
2019,1,24,4,30,21,0
2019,1,24,5,30,21.5,0
2019,1,24,6,30,23.2,54
2019,1,24,7,30,26,264
2019,1,24,8,30,29,482
2019,1,24,9,30,31.8,676
2019,1,24,10,30,34.1,809
2019,1,24,11,30,35.7,866
2019,1,24,12,30,36.5,837
2019,1,24,13,30,36.5,746
2019,1,24,14,30,35.9,588
2019,1,24,15,30,34,379
2019,1,24,16,30,30.5,156
2019,1,24,17,30,27.9,0
2019,1,24,18,30,26.8,0
2019,1,24,19,30,25.9,0
2019,1,24,20,30,25.1,0
2019,1,24,21,30,24.3,0
2019,1,24,22,30,23.4,0
2019,1,24,23,30,23,0
2019,1,25,0,30,21.5,0
2019,1,25,1,30,20.6,0
2019,1,25,2,30,19.8,0
2019,1,25,3,30,19.3,0
2019,1,25,4,30,19,0
2019,1,25,5,30,19.5,0
2019,1,25,6,30,21.5,63
2019,1,25,7,30,24.7,277
2019,1,25,8,30,28.4,500
2019,1,25,9,30,31.5,680
2019,1,25,10,30,33.7,812
2019,1,25,11,30,35.1,875
2019,1,25,12,30,35.9,843
2019,1,25,13,30,36,752
2019,1,25,14,30,35.4,594
2019,1,25,15,30,33.4,387
2019,1,25,16,30,29.7,160
2019,1,25,17,30,26.9,2
2019,1,25,18,30,25.7,0
2019,1,25,19,30,24.7,0
2019,1,25,20,30,23.9,0
2019,1,25,21,30,23,0
2019,1,25,22,30,22.2,0
2019,1,25,23,30,21.8,0
2019,1,26,0,30,21,0
2019,1,26,1,30,20.6,0
2019,1,26,2,30,20.2,0
2019,1,26,3,30,19.9,0
2019,1,26,4,30,19.6,0
2019,1,26,5,30,20.2,0
